Title,Type,Edition Type,Edition,Strategy,Author,Copyright Owner,Source,Description
Vexaria,0,0,,4,ak+q,lowiro Ltd.,https://www.youtube.com/watch?v=6ZlfHQCqLa8,
Shades of Light in a Transcendent Realm,0,0,,4,ak+q,lowiro Ltd.,https://www.youtube.com/watch?v=LozD8BotkLg,
inkar-usi,0,0,,4,DIA,lowiro Ltd.,https://www.youtube.com/watch?v=ocS2gE3s8G0,
Syro,0,0,,4,Mitomoro,lowiro Ltd.,https://www.youtube.com/watch?v=BpNl-2DW3kE,
Cybernecia Catharsis,0,0,,4,Tanchiky,lowiro Ltd.,https://www.youtube.com/watch?v=Ry18IVMVFGs,
Cybernecia Catharsis,0,1,Extend Mix,4,Tanchiky,lowiro Ltd.,https://www.youtube.com/watch?v=fFReIAbe8Xo,
Purgatorium,0,0,,4,お月さま交響曲,lowiro Ltd.,https://www.youtube.com/watch?v=KMaQhPLCqWY,
Purgatorium,0,1,FULL Ver.,4,お月さま交響曲,lowiro Ltd.,https://moonsymphony-monologia.tumblr.com/,
LunarOrbit -believe in the Espebranch road-,0,0,,4,Apo11o program ft. 大瀬良あい,lowiro Ltd.,https://www.youtube.com/watch?v=_4saivLcJ3Y,
白道、多希望羊と信じありく。,0,0,,4,Apo11o program ft. 大瀬良あい,lowiro Ltd.,https://www.youtube.com/watch?v=_4saivLcJ3Y,
Blaster,0,0,,4,Massive New Krew,lowiro Ltd.,https://www.youtube.com/watch?v=poyaxEBQZnc,
Blaster,0,1,Extended Ver.,4,Massive New Krew,lowiro Ltd.,https://www.youtube.com/watch?v=isG6ZpniYRw,
Oblivia,0,0,,4,Saiph,lowiro Ltd.,https://www.youtube.com/watch?v=-g6kFEpqfys,
Diode,0,0,,4,Kolaa,lowiro Ltd.,https://www.youtube.com/watch?v=M-Rx5vnibwY,
FREEF4LL,0,0,,4,YUKIYANAGI,lowiro Ltd.,https://www.youtube.com/watch?v=oVkm1mL1kAw,
Monochrome Princess,0,0,,4,polysha,lowiro Ltd.,https://www.youtube.com/watch?v=rsQ12XL1WeI,
Monochrome Princess -the 21st Rebirth-,0,0,,4,polysha,lowiro Ltd.,https://www.youtube.com/watch?v=ot8JHmFNCEM,
Senkyou,0,0,,4,MYTK,lowiro Ltd.,https://www.youtube.com/watch?v=Wic7dgxs6oo,
Ignotus,0,0,,4,ak+q,lowiro Ltd.,https://www.youtube.com/watch?v=U7M6e1MGYl0,
Ignotus,0,1,Extended Ver.,4,ak+q,lowiro Ltd.,https://www.youtube.com/watch?v=ufyxFmuhAWQ,
Ignotus Afterburn,0,0,,4,Arcaea Sound Team,lowiro Ltd.,https://x.com/arcaea_en/status/980101433856090113,
Red and Blue,0,0,,4,Silentroom,lowiro Ltd.,https://www.youtube.com/watch?v=Ae32KneTIHE,
Red and Blue and Green,0,0,,4,FN,lowiro Ltd.,https://www.youtube.com/watch?v=UeN7U474cxE,
san skia,0,0,,4,ユアミトス,lowiro Ltd.,https://x.com/arcaea_en/status/1527438956312178688,
san skia,0,1,Full Ver.,4,ユアミトス,lowiro Ltd.,https://www.youtube.com/watch?v=6jvC_xoUrNE,
Trap Crow,0,0,,4,Puru,lowiro Ltd.,https://www.youtube.com/watch?v=ZDWKiCy7PFA,
Vivid Theory,0,0,,4,ak+q,lowiro Ltd.,https://www.youtube.com/watch?v=VdVpXGpuwCw,
Give Me a Nightmare,0,0,,4,アリスシャッハと魔法の楽団,lowiro Ltd.,https://www.youtube.com/watch?v=Yj44USvP0pE,
Purple Verse,0,0,,4,Hommarju,lowiro Ltd.,https://www.youtube.com/watch?v=pN3Yj_1KFik,
Glow,0,0,,4,SPACELECTRO,lowiro Ltd.,https://www.youtube.com/watch?v=HotvIK_P_Vo,
Glow,0,1,Extended Mix,4,SPACELECTRO,lowiro Ltd.,https://spacelectro.bandcamp.com/album/glow,
Vandalism,0,0,,4,Ashrount,lowiro Ltd.,https://www.youtube.com/watch?v=EQzl6zbLFSY,
Turbocharger,0,0,,4,A/I,lowiro Ltd.,https://www.youtube.com/watch?v=VceLifXJBIg,
狂言綺語,0,0,,4,影虎。& ikaruga_nex,lowiro Ltd.,https://www.youtube.com/watch?v=febxbC_OiYI,
False Embellishment,0,0,,4,影虎。& ikaruga_nex,lowiro Ltd.,https://www.youtube.com/watch?v=febxbC_OiYI,
False Embellishment,0,1,extended,4,影虎。& ikaruga_nex,lowiro Ltd.,https://www.youtube.com/watch?v=2l9OEEwhtDI,
狂言綺語,0,1,extended,4,影虎。& ikaruga_nex,lowiro Ltd.,https://www.youtube.com/watch?v=2l9OEEwhtDI,
HIVEMIND,0,0,,4,かたぎり,lowiro Ltd.,https://www.youtube.com/watch?v=ykO7JjDqlys,
blue comet,0,0,,4,ああああ,lowiro Ltd.,https://www.youtube.com/watch?v=agdl76hbfaU,
Chronicle,0,0,,4,Lime,lowiro Ltd.,https://x.com/arcaea_en/status/1615137323095654403,
RGB,0,0,,4,MEMODEMO x AQUASINE,lowiro Ltd.,https://www.youtube.com/watch?v=stTVSEnDkhY,
Dynitikós,0,0,,4,Prower,lowiro Ltd.,https://www.youtube.com/watch?v=iU2YH5DjcdM,
雨神楽,0,0,,4,荒谷サトル,lowiro Ltd.,https://www.youtube.com/watch?v=R9MeOM4fL-w,
Amekagura,0,0,,4,荒谷サトル,lowiro Ltd.,https://www.youtube.com/watch?v=R9MeOM4fL-w,
FANTA5Y,0,0,,4,Moon Jelly & YUKIYANAGI,lowiro Ltd.,https://x.com/arcaea_en/status/1715880716309770438,
アローンアンドローン,0,0,,4,Ponchi♪ feat.はぁち,lowiro Ltd.,https://x.com/arcaea_en/status/1728564370567733445,
Alone & Lorn,0,0,,4,Ponchi♪ feat.はぁち,lowiro Ltd.,https://x.com/arcaea_en/status/1728564370567733445,
memoryfactory.lzh,0,0,,4,Frums,lowiro Ltd.,https://www.youtube.com/watch?v=XSz_A1CIeN4,
Lumia,0,0,,4,sky_delta,lowiro Ltd.,https://www.youtube.com/watch?v=qVjta86UNmM,
Solitary Dream,0,0,,4,ak+q feat. Sennzai,lowiro Ltd.,https://www.youtube.com/watch?v=ZzGuURo8tI0,
虚空の夢,0,0,,4,ak+q feat. Sennzai,lowiro Ltd.,https://www.youtube.com/watch?v=ZzGuURo8tI0,
Solitary Dream,0,1,OP ver.,4,ak+q,lowiro Ltd.,https://www.youtube.com/watch?v=ws-K5wtoXgY,
虚空の夢,0,1,OP ver.,4,ak+q,lowiro Ltd.,https://www.youtube.com/watch?v=ws-K5wtoXgY,
Essence of Twilight,0,0,,4,Essence of Twilight,lowiro Ltd.,https://www.youtube.com/watch?v=D1keBzTX-iQ,
Sheriruth,0,0,,4,Team Grimoire,lowiro Ltd.,https://www.youtube.com/watch?v=UPvgG2oTKqE,
Sheriruth,0,1,Grimoire of Darkness,4,Team Grimoire,lowiro Ltd.,https://www.youtube.com/watch?v=vWfPqd61EeI,
PRAGMATISM,0,0,,4,Laur,lowiro Ltd.,https://www.youtube.com/watch?v=5ZKtzRKeyhA,
PRAGMATISM -RESURRECTION-,0,0,,4,Laur,lowiro Ltd.,https://www.youtube.com/watch?v=W0nauM-k3eU,
PRAGMATISM,0,1,2021 ReMaster,4,Laur,lowiro Ltd.,https://www.youtube.com/watch?v=7c82-59o33o,
Iconoclast,0,0,,4,Yamajet,lowiro Ltd.,https://www.youtube.com/watch?v=-iuXv-8roJo,
Iconoclast,0,1,きまぐれウィッチスミス,4,Yamajet,lowiro Ltd.,https://yamajet.bandcamp.com/track/iconoclast,
trappola bewitching,0,0,,4,gmtn.,lowiro Ltd.,https://www.youtube.com/watch?v=b9uIoyVOdZs,
妖艶魔女 -trappola bewitching-,0,0,,4,gmtn.,lowiro Ltd.,https://www.youtube.com/watch?v=b9uIoyVOdZs,
trappola bewitching,0,1,Extended Ver.,4,gmtn.,lowiro Ltd.,https://www.youtube.com/watch?v=y5V7XF74UuI,
妖艶魔女 -trappola bewitching-,0,1,Extended Ver.,4,gmtn.,lowiro Ltd.,https://www.youtube.com/watch?v=y5V7XF74UuI,
Axium Crisis,0,0,,4,ak+q,lowiro Ltd.,https://www.youtube.com/watch?v=1HyuI8Bvnsg,
Grievous Lady,0,0,,4,Team Grimoire vs Laur,lowiro Ltd.,https://www.youtube.com/watch?v=Eax2zhVA0Zo,
Grievous Lady,0,1,UMBRA MORTIS,4,Team Grimoire vs Laur,lowiro Ltd.,https://www.youtube.com/watch?v=QXeaLw2s-Wo,
Grievous Lady -nothing is but what is not-,0,0,,4,Team Grimoire vs Laur,lowiro Ltd.,https://www.youtube.com/watch?v=ik_A7Mqepe0,
Maze No.9,0,0,,4,アリスシャッハと魔法の楽団,lowiro Ltd.,https://www.youtube.com/watch?v=5RZoomepCbo,
九番目の迷路,0,0,,4,アリスシャッハと魔法の楽団,lowiro Ltd.,https://www.youtube.com/watch?v=5RZoomepCbo,
Sulfur,0,0,,4,ぺのれり,lowiro Ltd.,https://www.youtube.com/watch?v=-I2sLkBDQTQ,
Sulfur,0,1,Dioxide Form,4,ぺのれり,lowiro Ltd.,https://www.youtube.com/watch?v=D4Oops659Wo,
The Message,0,0,,4,Jun Kuroda,lowiro Ltd.,https://www.youtube.com/watch?v=9XEkasjf-Wo,
Ether Strike,0,0,,4,Akira Complex,lowiro Ltd.,https://www.youtube.com/watch?v=et1jmYJedKg,
Ether Strike,0,1,'Divine Mercy' Extended,4,Akira Complex,lowiro Ltd.,https://www.youtube.com/watch?v=4lRbzHP87mU,
Fracture Ray,0,0,,4,削除,lowiro Ltd.,https://www.youtube.com/watch?v=1v7WXxLWSrk,
Fracture Ray,0,1,pt. StaZyo,4,Sakuzyo & Sta,lowiro Ltd.,https://www.youtube.com/watch?v=J3gPV8-bK-M,
Fracture Ray,0,1,しおじょワールド編,4,Sakuzyo & Sta,lowiro Ltd.,https://www.youtube.com/watch?v=_2SyCeDoGY8,
Vindication,0,0,,4,Laur,lowiro Ltd.,https://www.youtube.com/watch?v=19K_7GjmFDs,
Vindication,0,1,Extended,4,Laur,lowiro Ltd.,https://www.youtube.com/watch?v=BoB3Kxhlqvk,
Heavensdoor,0,0,,4,LeaF,lowiro Ltd.,https://www.youtube.com/watch?v=-r4DH6sJFDA,
BLRINK,0,0,,4,Sta,lowiro Ltd.,https://www.youtube.com/watch?v=0G3O6j-M7b8,
BLRINK,0,1,Reasons,4,Sta,lowiro Ltd.,https://bit192.bandcamp.com/track/blrink,
BLRINK,0,1,Instrumental,4,Sta,lowiro Ltd.,https://www.youtube.com/watch?v=wZ79Lj6YqN4,
Ringed Genesis,0,0,,4,Edelritter,lowiro Ltd.,https://www.youtube.com/watch?v=QVMp16jMmH0,
Equilibrium,0,0,,4,Maozon,lowiro Ltd.,https://www.youtube.com/watch?v=tIqJCipZ_jQ,
Antagonism,0,0,,4,Yooh vs. siromaru,lowiro Ltd.,https://www.youtube.com/watch?v=HVPOKR_N9EU,
Lost Desire,0,0,,4,Powerless feat. Sennzai,lowiro Ltd.,https://www.youtube.com/watch?v=Zg-vD8SrqRg,
Lost Desire,0,1,Instrumental,4,Powerless,lowiro Ltd.,https://powerless.bandcamp.com/track/lost-desire-instrumental,
Dantalion,0,0,,4,Team Grimoire,lowiro Ltd.,https://www.youtube.com/watch?v=PoUtLngaRFA,
Dantalion,0,1,Full Ver.,4,Team Grimoire,lowiro Ltd.,https://www.youtube.com/watch?v=Y2tKpnyc50E,
#1f1e33,0,0,,4,かめりあ(EDP),lowiro Ltd.,https://www.youtube.com/watch?v=w4U9S5eX3eY,
#1f1e33,0,1,"Another long """"#ant1p01e"""" Version",4,かめりあ(EDP),lowiro Ltd.,https://www.youtube.com/watch?v=ZTf4xFOyiKU,
#1f1e33,0,1,#00102g version,4,かめりあ(EDP),lowiro Ltd.,https://www.youtube.com/watch?v=a3nCzweC6QE,
0xe0e1ccull,0,0,,4,f→n,lowiro Ltd.,https://x.com/arcaea_en/status/1641982965369667584,
Tempestissimo,0,0,,4,t+pazolite,lowiro Ltd.,https://www.youtube.com/watch?v=Plu8_rCyaG4,
Tempestissimo,0,1,Uncut Edition,4,t+pazolite,lowiro Ltd.,https://www.youtube.com/watch?v=Tp6ot4ts6HU,
Tempestissimo,0,1,In un dolore da record,4,t+pazolite,lowiro Ltd.,https://www.youtube.com/watch?v=ZeHa1E4Z4Mo,
Arcahv,0,0,,4,Feryquitous,lowiro Ltd.,https://www.youtube.com/watch?v=eNnL750ViLY,
Defection,0,0,,4,TeddyLoid feat.DELTA,lowiro Ltd.,https://x.com/arcaea_en/status/1540490324669530113,
"Infinite Strife,",0,0,,4,BlackYooh vs. siromaru,lowiro Ltd.,https://www.youtube.com/watch?v=6SnKP9q_LV4,
魔王,0,0,,4,sasakure.UK × TJ.hangneil,lowiro Ltd.,https://x.com/arcaea_en/status/1544875702616563712,
World Ender,0,0,,4,sasakure.UK × TJ.hangneil,lowiro Ltd.,https://x.com/arcaea_en/status/1544875702616563712,
魔王,0,1,Full Ver.,4,sasakure.UK × TJ.hangneil,lowiro Ltd.,https://www.youtube.com/watch?v=lAYw5ZTJztE,
World Ender,0,1,Full Ver.,4,sasakure.UK × TJ.hangneil,lowiro Ltd.,https://www.youtube.com/watch?v=lAYw5ZTJztE,
Pentiment,0,0,,4,Nothing But Requiem with Museo,lowiro Ltd.,https://www.youtube.com/watch?v=Y6ctMlwXzvI,
Arcana Eden,0,0,,4,Team Grimoire vs Sakuzyo vs Laur,lowiro Ltd.,https://www.youtube.com/watch?v=WMgYcBvw0dk,
Arcana Eden,0,1,Extended by Laur,4,Team Grimoire vs Sakuzyo vs Laur,lowiro Ltd.,https://www.youtube.com/watch?v=fJRgnCpmTTs,
Testify,0,0,,4,void (Mournfinale) feat. 星熊南巫,lowiro Ltd.,https://x.com/arcaea_en/status/1545044507053686786,
Testify,0,1,Full Ver.,4,void (Mournfinale) feat. 星熊南巫,lowiro Ltd.,https://www.youtube.com/watch?v=xkUN_9HFNPg,
Loveless Dress,0,0,,4,かねこちはる,lowiro Ltd.,https://www.youtube.com/watch?v=NQA_Ml2yFH8,
Last,0,0,,4,onoken,lowiro Ltd.,https://www.youtube.com/watch?v=TDGk471fSTI,
Last｜Moment,0,0,,4,onoken,lowiro Ltd.,https://www.youtube.com/watch?v=l_fXX3Y0Pis,
Last｜Eternity,0,0,,4,onoken,lowiro Ltd.,https://www.youtube.com/watch?v=OCbVjezDxGw,
Callima Karma,0,0,,4,t+pazolite vs Feryquitous,lowiro Ltd.,https://www.youtube.com/watch?v=8QfZ5oPfKeM,
WAIT FOR DAWN,0,0,,4,U-ske feat. 棗いつき,lowiro Ltd.,https://www.youtube.com/watch?v=nZG84LpbMC4,
Rise of the World,0,0,,4,cosMo@暴走P,lowiro Ltd.,https://www.youtube.com/watch?v=PyMtm6ATLsA,
レイヴンズ・プライド,0,0,,4,みーに feat. はらもりよしな,lowiro Ltd.,https://www.youtube.com/watch?v=G9yHk-UVTHE,
Raven's Pride,0,0,,4,みーに feat. はらもりよしな,lowiro Ltd.,https://www.youtube.com/watch?v=G9yHk-UVTHE,
UNKNOWN LEVELS,0,0,,4,Yuta Imai,lowiro Ltd.,https://www.youtube.com/watch?v=_Zz_xtJyBXY,
Abstruse Dilemma,0,0,,4,Ashrount vs. 打打だいず,lowiro Ltd.,https://www.youtube.com/watch?v=nnpyIv4wGeQ,
Abstruse Dilemma,0,1,"""A"" side long ver.",4,Ashrount vs. 打打だいず,lowiro Ltd.,https://www.youtube.com/watch?v=gs2diLxRKV0,
Abstruse Dilemma,0,1,"""D"" side long ver.",4,Ashrount vs. 打打だいず,lowiro Ltd.,https://www.youtube.com/watch?v=7VOuvpq20NQ,
Primeval Texture,0,0,,4,くるぶっこちゃん,lowiro Ltd.,https://www.youtube.com/watch?v=CTngs1wYIko,
Technicolour,0,0,,4,Maozon,lowiro Ltd.,https://maozon.bandcamp.com/track/technicolour,
Logos,0,0,,4,polysha feat. 高城みよ,lowiro Ltd.,https://www.youtube.com/watch?v=3N8tYRtbi7k,
Ego Eimi,0,0,,4,BlackY feat. Risa Yuzuki,lowiro Ltd.,https://www.youtube.com/watch?v=ufNxqMYBcbw,
Arghena,0,0,,4,Feryquitous vs Laur,lowiro Ltd.,https://www.youtube.com/watch?v=l3jMCWZcFKU,
Transient Space,0,0,,4,"sleepless, Gardens, aspect",lowiro Ltd.,https://soundcloud.com/gardensdtm/transient-space,
Nameless Passion,0,0,,4,天束 feat.Sennzai,lowiro Ltd.,https://www.youtube.com/watch?v=cuHxmv2GkbE,
TeraVolt,0,0,,4,Katali,lowiro Ltd.,https://x.com/arcaea_en/status/1715518418600792199,
Paradise,0,0,,4,Sound Souler,lowiro Ltd.,https://www.youtube.com/watch?v=S-Wo_-UQNSw,
Paradise,0,1,Extended Mix,4,Sound Souler,lowiro Ltd.,https://www.youtube.com/watch?v=dkm-t-xAL0k,
Paradise (Heaven Up Remix),0,0,,4,Sound Souler,lowiro Ltd.,https://www.youtube.com/watch?v=0Cnd0cwkBKg,
Flashback,0,0,,4,ARForest,lowiro Ltd.,https://www.youtube.com/watch?v=dgyWd5lx5zE,
Flashback,0,1,Extended Mix,4,ARForest,lowiro Ltd.,https://www.youtube.com/watch?v=tLWegJv67Q0,
Flyburg and Endroll,0,0,,4,アリスシャッハと魔法の楽団,lowiro Ltd.,https://www.youtube.com/watch?v=6JZAtght5NE,
フライブルクとエンドロウル,0,0,,4,アリスシャッハと魔法の楽団,lowiro Ltd.,https://www.youtube.com/watch?v=6JZAtght5NE,
Flyburg and Endroll,0,1,Extended Ver.,4,アリスシャッハと魔法の楽団,lowiro Ltd.,https://www.youtube.com/watch?v=Jxol2Qp9bHg,
フライブルクとエンドロウル,0,1,Extended Ver.,4,アリスシャッハと魔法の楽団,lowiro Ltd.,https://www.youtube.com/watch?v=Jxol2Qp9bHg,
Party Vinyl,0,0,,4,モリモリあつし,lowiro Ltd.,https://www.youtube.com/watch?v=5iXcu6oYrQY,
Party Vinyl (uma Remix),0,0,,4,モリモリあつし,lowiro Ltd.,https://www.youtube.com/watch?v=mPlSmcAkXPk,
Nirv lucE,0,0,,4,しーけー,lowiro Ltd.,https://www.youtube.com/watch?v=wBztxbPxWuQ,
Nirv lucE,0,1,Full Ver.,4,しーけー,lowiro Ltd.,https://www.youtube.com/watch?v=GRq5c8VC5uA,
GLORY：ROAD,0,0,,4,uma vs. モリモリあつし,lowiro Ltd.,https://www.youtube.com/watch?v=9g-qIY3UejI,
GLORY：ROAD,0,1,long ver.,4,uma vs. モリモリあつし,lowiro Ltd.,https://www.youtube.com/watch?v=1PGAJjfsrcs,
GLORY：ROAD (Aoi vs. siqlo's ''Overload'' RMX),0,0,,4,uma vs. モリモリあつし,lowiro Ltd.,https://www.youtube.com/watch?v=Wm5LoFnpGrc,
Romance Wars,0,0,,4,U-ske (feat. lueur),lowiro Ltd.,https://www.youtube.com/watch?v=3FnbeBG5ryE,
vsキミ戦争,0,0,,4,U-ske (feat. lueur),lowiro Ltd.,https://www.youtube.com/watch?v=3FnbeBG5ryE,
Blossoms,0,0,,4,T2Kazuya,lowiro Ltd.,https://www.youtube.com/watch?v=-zfK-ttEfSI,
Moonheart,0,0,,4,翡乃イスカ,lowiro Ltd.,https://www.youtube.com/watch?v=l1HZvmHeSs0,
Moonheart,0,1,VIP,4,翡乃イスカ,lowiro Ltd.,https://www.youtube.com/watch?v=dzzBWiyifm0,
Moonheart (Mameyudoufu Remix),0,0,,4,翡乃イスカ,lowiro Ltd.,https://www.youtube.com/watch?v=Z4OyvjUXZ3E,
Moonheart (Riku Remix),0,0,,4,Riku,lowiro Ltd.,https://www.youtube.com/watch?v=zfyabISe57A,
Genesis,0,0,,4,Iris,lowiro Ltd.,https://www.youtube.com/watch?v=7FFICvaMUNQ,
