标题,类型,版本类型,版本名称或出处,策略,作者名义,版权所有者名义,发布源URL,简介
Awaken In Ruins,0,0,,4,Supa7onyz,TunerGames,https://www.bilibili.com/video/BV1o84y1479z/,
Chase,0,0,,4,HLXQ,TunerGames,https://www.bilibili.com/video/BV1N14y1P7tJ/,
Restricted Access,0,0,,4,Knighthood,TunerGames,https://www.bilibili.com/video/BV1Pd4y1e7GB/,
Time's Up,0,0,,4,rareguy,TunerGames,https://www.bilibili.com/video/BV16g411t7C1/,
Verreta,0,0,,4,Se-U-Ra,TunerGames,https://www.bilibili.com/video/BV1BW4y1N7Bi/,
Forgotten Asteroid,0,0,,4,seatrus,TunerGames,https://www.bilibili.com/video/BV1uW4y1M7Dp/,
零號車輛,0,0,,4,seatrus,TunerGames,https://www.bilibili.com/video/BV1HM411m7Qu/,
[PRAW],0,1,Paradigm Edit,4,Knighthood,TunerGames,https://www.bilibili.com/video/BV1cV4y1w7q7/,
[NWAD],0,0,,4,Knighthood,TunerGames,https://www.bilibili.com/video/BV1AM411m7Vt/,
Only One Light,0,0,,4,Tatsh feat.MAYUMI MORINAGA,TunerGames,https://www.bilibili.com/video/BV1k44y1d7jg/,
Tequila Sunrise And Planter's Punch,0,0,,4,Nirotiy,TunerGames,https://www.bilibili.com/video/BV1jM411m7zW/,
Marsh Winds,0,0,,4,ETIA.,TunerGames,https://www.bilibili.com/video/BV1RV4y1c7St/,
Indelible Scar,0,0,,4,Noah,TunerGames,https://www.bilibili.com/video/BV1je411c7pL/,
Turning POINT,0,0,,4,Junk,TunerGames,https://www.bilibili.com/video/BV1614y1A7BK/,
Reversed Zenith,0,0,,4,硝酸生菜,TunerGames,https://www.bilibili.com/video/BV1mP4y1B7Gt/,
SUTTA MONDAY,0,0,,4,MYUKKE.,TunerGames,https://www.bilibili.com/video/BV1Jm4y1675i/,
Hiyaiya!,0,0,,4,MYUKKE.,TunerGames,https://www.bilibili.com/video/BV1Do4y1s7if/,
Equality of Equites,0,0,,4,MYUKKE.,TunerGames,https://www.bilibili.com/video/BV17N411K7cP/,
Paradial Resonator,0,0,,4,Reku Mochizuki,TunerGames,https://space.bilibili.com/1269580207,
Rebooted Mind,0,0,,4,Reku Mochizuki,TunerGames,https://www.bilibili.com/video/BV1kz4y1e7At/,
#D3D3D3 (Blank Universe),0,0,,4,Supa7onyz,TunerGames,https://www.bilibili.com/video/BV18h411K7ra/,
Yokyuumi,0,0,,4,Knighthood,TunerGames,https://www.bilibili.com/video/BV14s4y1F7qg/,
Viyella's Melancholy,0,0,,4,Laur,TunerGames,https://www.bilibili.com/video/BV1QM4y1L7ot/,
Heartpoint,0,0,,4,HyuN feat. 駄々子,TunerGames,https://www.bilibili.com/video/BV1sw411r7aV/,
Veil of Summer,0,0,,4,Maozon,TunerGames,https://www.bilibili.com/video/BV1wN4y1Z75L/,
夏色の思い出 （Summer Memories）,0,0,,4,Yesod (Rabbit House + litmus* + A.Ki),TunerGames,https://www.bilibili.com/video/BV1hC4y1V7tV/,
The Night City,0,0,,4,system [Σ],TunerGames,https://www.bilibili.com/video/BV1gg4y1s7Uy/,
Gray：MachineGang,0,0,,4,adaptor,TunerGames,https://www.bilibili.com/video/BV1GL411R7mF/,
Inner Norm,0,0,,4,Zris,TunerGames,https://www.bilibili.com/video/BV1Ua4y1V7un/,
Xenolith,0,0,,4,Tatsh,TunerGames,https://www.bilibili.com/video/BV1Va4y137cA/,
Grilled Cheese Burger,0,1,Spicy Ver,4,UN1C0DE,TunerGames,https://www.bilibili.com/video/BV1V8411R7CK/,
Pantomime,0,0,,4,Halv,TunerGames,https://space.bilibili.com/1269580207,
Pulsar,0,0,,4,Daison,TunerGames,https://www.bilibili.com/video/BV1k8411n74Q/,
Artificial Existence,0,0,,4,Jun Kuroda,TunerGames,https://www.bilibili.com/video/BV1XN411T7gZ/,
REDASH,0,0,,4,Lax1u57,TunerGames,https://www.bilibili.com/video/BV1664y1L7Dn/,
TOT,0,0,,4,seatrus,TunerGames,https://space.bilibili.com/1269580207,
Unpredictable Nascent Invasion,0,0,,4,硝酸生菜,TunerGames,https://space.bilibili.com/1269580207,
RE; Boot,0,0,,4,溝口ゆうま feat. 柚木つばめ,TunerGames,https://space.bilibili.com/1269580207,
静寂に憂う,0,0,,4,Reku Mochizuki feat. せやかて硝酸太郎,TunerGames,https://space.bilibili.com/1269580207,
The Grand F-STAR,0,1,Paradigm Edit,4,AiSS,TunerGames,https://space.bilibili.com/1269580207,
Incineraxion,0,0,,4,Ra vs. SunsetRay,TunerGames,https://space.bilibili.com/1269580207,
Blessed Bleath,0,0,,4,Metalliz,TunerGames,https://space.bilibili.com/1269580207,
Echoes of the Forest,0,0,,4,DJ Noriken,TunerGames,https://space.bilibili.com/1269580207,
Rondo of the 3ND,0,0,,4,Sephid,TunerGames,https://www.bilibili.com/video/BV1z24y1U7nW/,
Awaken In Ruins Ultimate VIP,0,0,,4,Supa7onyz,TunerGames,https://space.bilibili.com/1269580207,《Paradigm: Reboot》新手教程曲
Cybernetic Vampire,0,0,,4,void (Mournfinale),TunerGames,https://space.bilibili.com/1269580207,
